headline,publisher,date,stock,headline_length,keywords,hour
"Syntel, Inc. Reports Q1 EPS of $1.11 vs $1.03 Est; Revenue of $189.10M vs $187.99M Est",bret.kenwell@benzinga.com,,SYNT,86,"['syntel', 'q1 eps', 'vs $', 'est', '$ 189.10m vs $ 187.99m', 'est']",
Mid-Day Market Update: K2M Group Rises On Acquisition News; Tech Data Shares Plunge,Lisa Levin,,UEPS,83,"['mid-day market update', 'k2m', 'rises', 'acquisition', 'tech data shares plunge']",
Aramchol's Failed Past Isn't Its Future; Galmed Gets An Upgrade,Elizabeth Balboa,,GLMD,63,"['aramchol', 'failed past', 'galmed', 'upgrade']",
60 Stocks Moving In Thursday's Mid-Day Session,Lisa Levin,,SU,46,"['stocks', 'mid-day session']",
Anheuser-Busch shares are trading lower after the company said it is not proceeding with its public offering of its minority stake in APAC subsidiary.,Benzinga Newsdesk,,BUD,150,"['anheuser-busch', 'public offering', 'apac']",
The Market In 5 Minutes: Don't Stop Me Now,Benzinga News Desk,,PFE,42,"['market', 'minutes', 'stop']",
"Hawaiian Electric Industries, Inc. Reports Q3 EPS of $0.48 vs $0.51 Est; Revenue of $831.20M vs $907.62M Est",Paul Quintaro,,HE,108,"['q3 eps', 'vs $', 'est', '$ 831.20m vs $ 907.62m', 'est']",
Valuation Flies Higher On Macquarie Infrastructure Co.,Benzinga Staff,,MIC,54,"['valuation flies', 'macquarie infrastructure co']",
DISH Network Reports Q2 EPS $0.75 vs $0.79 Est; Revenues $3.59B vs $3.41B Est,Eddie Staley,,DISH,77,"['dish network', 'q2 eps', 'vs $', 'est', 'revenues', '$ 3.59b vs $ 3.41b', 'est']",
21st Century Fox Rejected Higher Offer From Comcast Before Accepting Disney Bid,Paul Quintaro,,CMCSA,79,"['fox rejected', 'offer', 'comcast', 'accepting disney bid']",
"Pete Najarian Sees Unusual Options Activity In ASHR, QQQ And Nike",Craig Jones,,QQQ,65,"['pete najarian', 'unusual options activity', 'ashr', 'qqq', 'nike']",
First Solar Spikes to High of Day,Charles Gross,,FSLR,33,['solar spikes'],
Dumbest of This Week's 5 Dumbest: Sears Signs on the Kardashians,webmaster,,SHLD,64,"['dumbest', ""week 's"", 'dumbest', 'sears signs', 'kardashians']",
